company,location,state,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,role,department,employee_type,reason,company_size,source
Ather Energy,Chennai,Tamil Nadu,Automotive,489,0.042,2024-06-25,Late Stage,India,500,Data Analyst,Analytics,Full-time,Automation,Large,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,530,0.146,2026-06-26,Late Stage,India,1200,Project Manager,Project Management,Contract,Performance optimization,Startup,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,379,0.217,2022-09-05,Late Stage,India,5500,Data Scientist,Data Science,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,1028,0.141,2025-10-22,Post-IPO,India,484,Recruiter,Human Resources,Contract,Market conditions,Startup,Synthetic Practice Data
Ather Energy,,Tamil Nadu,Automotive,298,0.057,2022-03-13,Late Stage,India,500,Software Engineer,Engineering,Contract,Restructuring,Small,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,324,0.135,2022-05-26,Late Stage,India,2200,Software Engineer,Engineering,Part-time,Automation,Large,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,495,0.155,2024-12-03,Late Stage,India,800,Operations Executive,Operations,Contract,Funding issues,Small,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,655,0.07,2021-06-15,Late Stage,India,1200,Data Scientist,Data Science,Intern,Merger and acquisition,Medium,Synthetic Practice Data
Wipro,Hyderabad,Telangana,IT Services,226,0.047,2023-08-03,Post-IPO,India,0,UI/UX Designer,Design,Part-time,Cost cutting,Enterprise,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,551,0.047,2022-07-12,Post-IPO,India,4300,Recruiter,Human Resources,Full-time,Economic slowdown,Startup,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,275,0.142,2025-07-25,Post-IPO,India,0,DevOps Engineer,Engineering,Part-time,Restructuring,Medium,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,143,0.054,2022-02-08,Late Stage,India,1200,Data Analyst,Analytics,Contract,Economic slowdown,Medium,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,273,0.186,2021-11-21,Late Stage,India,1000,Software Engineer,Engineering,Contract,Market conditions,Startup,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,193,0.091,2025-03-23,Post-IPO,India,484,Marketing Executive,Marketing,Contract,Funding issues,Small,Synthetic Practice Data
TCS,Hyderabad,Telangana,IT Services,283,0.172,2023-07-03,Post-IPO,India,0,Senior Software Engineer,Engineering,Intern,Restructuring,Startup,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,167,0.201,2026-04-06,Late Stage,India,800,Product Manager,Product,Intern,Economic slowdown,Medium,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,319,0.222,2023-06-25,Late Stage,India,500,Recruiter,Human Resources,Contract,Market conditions,Medium,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,31,0.132,2025-03-01,Private,India,0,Data Analyst,Analytics,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,391,0.144,2025-11-19,Late Stage,India,700,UI/UX Designer,Design,Full-time,Merger and acquisition,Large,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,242,0.206,2022-07-31,Late Stage,India,1200,Recruiter,Human Resources,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Swiggy,Mumbai,Maharashtra,Food Delivery,305,0.067,2024-09-12,Post-IPO,India,3600,Recruiter,Human Resources,Full-time,Cost cutting,Small,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,358,0.16,2024-07-04,Late Stage,India,1000,Operations Executive,Operations,Contract,Funding issues,Medium,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,173,0.23,2022-09-22,Late Stage,India,800,Recruiter,Human Resources,Contract,Cost cutting,Large,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,243,0.179,2026-02-12,Late Stage,India,1200,Data Scientist,Data Science,Contract,Economic slowdown,Startup,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,432,0.063,2025-06-25,Late Stage,India,1300,Customer Support Executive,Customer Support,Contract,Strategic restructuring,Large,Synthetic Practice Data
Flipkart,Kolkata,West Bengal,E-commerce,67,0.108,2022-10-14,Late Stage,India,8700,Finance Analyst,Finance,Part-time,Restructuring,Medium,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,365,0.177,2024-12-26,Late Stage,India,800,Data Scientist,Data Science,Full-time,Business shutdown,Small,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,730,0.073,2026-02-19,Post-IPO,India,4300,DevOps Engineer,Engineering,Part-time,Cost cutting,Large,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,554,0.051,2026-01-06,Late Stage,India,500,Data Analyst,Analytics,Intern,Performance optimization,Small,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,300,0.095,2022-07-10,Late Stage,India,500,QA Engineer,Quality Assurance,Full-time,Business shutdown,Small,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,1000,0.149,2024-12-10,Post-IPO,India,0,Data Scientist,Data Science,Contract,Cost cutting,Medium,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,33,0.088,2024-01-25,Post-IPO,India,5000,Marketing Executive,Marketing,Full-time,Market conditions,Small,Synthetic Practice Data
Udaan, Mumbai,Maharashtra,E-commerce,616,0.028,2021-02-08,Late Stage,India,1200,Marketing Executive,Marketing,Intern,Merger and acquisition,Small,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,612,0.069,2025-01-29,Late Stage,India,3200,Project Manager,Project Management,Part-time,Funding issues,Enterprise,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,156,0.143,2021-10-17,Late Stage,India,5500,Project Manager,Project Management,Intern,Business shutdown,Small,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,569,0.11,2026-01-27,Late Stage,India,800,Marketing Executive,Marketing,Part-time,Performance optimization,Enterprise,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,Financial Services,1142,0.072,2022-10-14,Post-IPO,India,800,Operations Executive,Operations,Intern,Automation,Large,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,562,0.04,2025-06-01,Post-IPO,India,2500,Finance Analyst,Finance,Part-time,Performance optimization,Medium,Synthetic Practice Data
HCLTech,Hyderabad,Telangana,IT Services,305,0.032,2022-01-01,Post-IPO,India,0,Customer Support Executive,Customer Support,Intern,Restructuring,Startup,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,179,0.162,2023-04-27,Late Stage,India,1200,Sales Executive,sales,Intern,Performance optimization,Startup,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,675,0.088,2024-06-15,Post-IPO,India,5000,Product Manager,Product,Contract,Business shutdown,Large,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,863,0.058,2022-10-30,Post-IPO,India,0,Sales Executive,Sales,Intern,Restructuring,Small,Synthetic Practice Data
Ola,Mumbai,Maharashtra,Transportation,122,0.201,2021-05-03,Late Stage,India,3200,Data Scientist,Data Science,Part-time,Automation,Small,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,1064,0.07,2021-07-31,Post-IPO,India,,Finance Analyst,Finance,Full-time,Business shutdown,Startup,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,446,0.199,2021-03-15,Late Stage,India,3200,QA Engineer,Quality Assurance,Contract,Cost cutting,Small,Synthetic Practice Data
Ola,Mumbai,Maharashtra,Transportation,632,0.142,2021-11-03,Late Stage,India,3200,QA Engineer,Quality Assurance,Part-time,Strategic restructuring,Large,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,699,0.112,2025-05-29,Late Stage,India,1200,Data Analyst,Analytics,Full-time,Automation,Enterprise,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,705,0.031,2022-07-29,Post-IPO,India,3600,DevOps Engineer,Engineering,Intern,Performance optimization,Enterprise,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,865,0.062,2026-04-20,Post-IPO,India,2500,Business Analyst,Business,Part-time,Strategic restructuring,Small,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,625,0.068,2023-08-20,Late Stage,India,1200,Finance Analyst,Finance,Intern,Cost cutting,Medium,Synthetic Practice Data
Freshworks,hyderabad,Telangana,SaaS,158,0.131,2026-08-26,Post-IPO,India,484,QA Engineer,Quality Assurance,Intern,Cost cutting,Small,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,427,0.065,2022-10-08,Late Stage,India,800,Software Engineer,Engineering,Contract,Performance optimization,Enterprise,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,1078,0.117,2024-01-19,Post-IPO,India,3600,Customer Support Executive,Customer Support,Contract,Business shutdown,Enterprise,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,100,0.03,2024-06-10,Post-IPO,India,5000,Data Analyst,Analytics,Full-time,Funding issues,Small,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,644,0.115,2026-02-19,Late Stage,India,700,UI/UX Designer,,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,177,0.089,2023-09-12,Post-IPO,India,0,Data Analyst,Analytics,Intern,Strategic restructuring,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,100,0.051,2025-04-10,Post-IPO,India,0,Operations Executive,Operations,Full-time,Automation,Large,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,1022,0.03,2024-01-06,Post-IPO,India,0,Product Manager,Product,Intern,,Large,Synthetic Practice Data
Accenture India,Chennai,Tamil Nadu,IT Services,71,0.102,2026-06-23,Private,India,0,Sales Executive,Sales,Full-time,Restructuring,Large,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,285,0.034,2026-03-19,Late Stage,India,500,Marketing Executive,Marketing,Full-time,Merger and acquisition,Large,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,1134,0.066,2025-05-19,Post-IPO,India,0,Data Scientist,Data Science,Contract,Automation,Small,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,263,0.176,2021-12-02,Late Stage,India,1000,Finance Analyst,Finance,Contract,Merger and acquisition,Large,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,202,0.036,2026-03-03,Post-IPO,India,0,Sales Executive,Sales,Part-time,Business shutdown,Large,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,270,0.13,2023-08-11,Late Stage,India,1500,Customer Support Executive,Customer Support,Contract,Restructuring,Medium,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,635,0.085,2025-04-24,Late Stage,India,700,Operations Executive,Operations,Intern,Merger and acquisition,Small,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,580,0.014,2025-09-02,Post-IPO,India,484,Business Analyst,Business,Part-time,Market conditions,Startup,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,194,0.089,2023-01-02,Late Stage,India,800,Operations Executive,Operations,Contract,Strategic restructuring,Enterprise,Synthetic Practice Data
Udaan,,Haryana,E-commerce,341,0.118,2021-04-06,Late Stage,India,1200,Business Analyst,Business,Part-time,Business shutdown,Medium,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,132,0.052,2022-05-19,Late Stage,India,800,Marketing Executive,Marketing,Part-time,Funding issues,Startup,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,493,0.159,2023-01-09,Late Stage,India,800,Finance Analyst,Finance,Intern,Strategic restructuring,Enterprise,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,553,0.021,2024-09-04,Post-IPO,India,0,Marketing Executive,Marketing,Contract,Economic slowdown,Enterprise,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,23,0.196,2025-02-02,Private,India,0,UI/UX Designer,Design,Contract,Cost cutting,Small,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,590,0.078,2024-02-16,Post-IPO,India,0,DevOps Engineer,Engineering,Part-time,Performance optimization,Small,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,440,0.241,2026-03-05,Late Stage,India,5500,Customer Support Executive,Customer Support,Intern,Cost cutting,Enterprise,Synthetic Practice Data
Curefit,Hyderabad,Telangana ,HealthTech,596,0.061,2024-07-07,Late Stage,India,700,Business Analyst,Business,Full-time,Market conditions,Enterprise,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,528,0.018,2023-12-15,Late Stage,India,1500,Finance Analyst,Finance,Contract,Automation,Enterprise,Synthetic Practice Data
Infosys,Chennai,Tamil Nadu,IT Services,840,0.062,2021-12-11,Post-IPO,India,0,Data Analyst,Analytics,Contract,Strategic restructuring,Enterprise,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,1016,0.046,2024-10-25,Post-IPO,India,0,QA Engineer,Quality Assurance,Contract,Funding issues,Startup,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,financial services,404,0.094,2022-09-16,Post-IPO,India,800,Project Manager,Project Management,Intern,Cost cutting,Enterprise,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,276,0.23,2024-01-05,Late Stage,India,800,Customer Support Executive,Customer Support,Intern,Automation,Small,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,71,0.068,2024-03-21,Late Stage,India,1200,Sales Executive,Sales,Part-time,Business shutdown,Medium,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,643,0.144,2022-05-02,Post-IPO,India,2500,UI/UX Designer,Design,Contract,Restructuring,Large,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,422,0.13,2025-12-16,Post-IPO,India,4300,Recruiter,Human Resources,Full-time,Restructuring,Large,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,260,0.126,2021-10-14,Late Stage,India,1200,Recruiter,Human Resources,Contract,Cost cutting,Startup,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,405,0.249,2025-03-16,Late Stage,India,800,Sales Executive,Sales,Contract,Performance optimization,Startup,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,E-commerce,533,0.049,2026-02-06,Late Stage,India,650,Marketing Executive,Marketing,Intern,Restructuring,Startup,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,189,0.137,2022-05-14,Late Stage,India,500,QA Engineer,Quality Assurance,Full-time,Economic slowdown,Small,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,60,0.133,2026-05-06,Post-IPO,India,0,Senior Software Engineer,Engineering,Full-time,Strategic restructuring,Large,Synthetic Practice Data
Accenture India,Bengaluru,Karnataka,IT Services,248,0.179,2023-04-25,Private,India,0,HR Executive,Human Resources,Intern,Economic slowdown,Medium,Synthetic Practice Data
Curefit,Bengaluru,Karnataka,HealthTech,683,0.094,2024-08-11,Late Stage,India,700,QA Engineer,Quality Assurance,Intern,Merger and acquisition,Large,Synthetic Practice Data
Curefit,Bengaluru,Karnataka,HealthTech,380,0.138,2022-03-23,Late Stage,India,700,Finance Analyst,Finance,Intern,Automation,Enterprise,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,531,0.082,2022-06-17,Post-IPO,India,5000,QA Engineer,Quality Assurance,Contract,Strategic restructuring,Large,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,379,0.11,2021-12-29,Late Stage,India,500,UI/UX Designer,Design,Contract,Cost cutting,Large,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,119,0.051,2022-04-16,Late Stage,India,1300,Data Analyst,Analytics,Part-time,Performance optimization,Large,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,98,0.173,2022-06-17,Late Stage,India,650,QA Engineer,Quality Assurance,Full-time,Market conditions,Enterprise,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,123,0.174,2023-07-14,Post-IPO,India,0,Product Manager,Product,Contract,Performance optimization,Startup,Synthetic Practice Data
Freshworks ,Bengaluru,Karnataka,SaaS,538,0.048,2021-08-23,Post-IPO,India,484,Marketing Executive,Marketing,Full-time,Strategic restructuring,Startup,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,442,0.025,2022-11-12,Late Stage,India,500,Data Analyst,Analytics,Intern,Economic slowdown,Large,Synthetic Practice Data
Wipro,Pune,Maharashtra,IT Services,202,0.089,2023-05-29,Post-IPO,India,0,Software Engineer,Engineering,Full-time,Restructuring,Enterprise,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,571,0.028,2025-12-01,Post-IPO,India,0,QA Engineer,Quality Assurance,Part-time,Cost cutting,Small,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,448,0.201,2022-03-01,Late Stage,India,800,UI/UX Designer,Design,Intern,Economic slowdown,Medium,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,70,0.152,2023-02-25,Late Stage,India,1300,Data Scientist,Data Science,Contract,Business shutdown,Large,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,1185,0.028,2021-07-19,Post-IPO,India,5000,Operations Executive,Operations,Part-time,Business shutdown,Medium,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,Financial Services,1084,0.112,2026-08-01,Post-IPO,India,800,Data Analyst,Analytics,Intern,Automation,Small,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,527,0.032,2025-07-11,Late Stage,India,1200,UI/UX Designer,Design,Full-time,Restructuring,Medium,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,591,0.113,2021-08-05,Late Stage,India,650,Data Analyst,Analytics,Intern,Funding issues,Small,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,618,0.047,2021-12-15,Post-IPO,India,5000,QA Engineer,Quality Assurance,Part-time,Merger and acquisition,Small,Synthetic Practice Data
Ola,New Delhi,Delhi,Transportation,538,0.117,2021-07-21,Late Stage,India,3200,Senior Software Engineer,Engineering,Intern,Performance optimization,Medium,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,34,0.135,2025-06-21,Late Stage,India,2200,Product Manager,Product,Contract,Funding issues,Medium,Synthetic Practice Data
Zomato,Gurugram,Haryana,Food Delivery,519,0.092,2026-05-09,Post-IPO,India,2500,Business Analyst,Business,Contract,Automation,Startup,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,185,0.163,2024-10-07,Post-IPO,India,2500,Project Manager,Project Management,Contract,Cost cutting,Enterprise,Synthetic Practice Data
HCLTech,Noida,Uttar Pradesh,IT Services,1161,0.048,2021-04-03,Post-IPO,India,0,Product Manager,Product,Intern,Strategic restructuring,Large,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,666,0.081,2024-09-18,Late Stage,India,500,Project Manager,Project Management,Part-time,Cost cutting,Startup,Synthetic Practice Data
Dream11,Bengaluru,Karnataka,Gaming,195,0.126,2022-12-23,Late Stage,India,1000,DevOps Engineer,Engineering,Intern,Performance optimization,Enterprise,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,597,0.136,2025-09-08,Late Stage,India,1000,Product Manager,Product,Contract,Cost cutting,Startup,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,1015,0.037,2022-07-18,Post-IPO,India,2500,Business Analyst,Business,Part-time,Economic slowdown,Startup,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,324,0.049,2022-06-18,Late Stage,India,500,Data Analyst,Analytics,Contract,Restructuring,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,400,0.102,2021-10-25,Post-IPO,India,0,Recruiter,Human Resources,Intern,Performance optimization,Medium,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,432,0.191,2025-09-14,Late Stage,India,1000,QA Engineer,Quality Assurance,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,96,0.047,2023-05-07,Private,India,0,Product Manager,Product,Full-time,Performance optimization,Small,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,612,0.064,2021-12-13,Late Stage,India,800,Project Manager,Project Management,Part-time,Cost cutting,Medium,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,576,0.05,2025-05-02,Late Stage,India,800,Business Analyst,Business,Part-time,Merger and acquisition,Large,Synthetic Practice Data
TCS,Chennai,Tamil Nadu,IT Services,666,0.145,2021-06-18,Post-IPO,India,0,Operations Executive,Operations,Intern,Restructuring,Enterprise,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,311,0.163,2022-10-19,Late Stage,India,1000,Sales Executive,Sales,Intern,Funding issues,Startup,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,23,0.12,2021-06-30,Late Stage,India,,Customer Support Executive,Customer Support,Contract,Restructuring,Medium,Synthetic Practice Data
Curefit,Bengaluru,Karnataka,HealthTech,289,0.035,2026-05-01,Late Stage,India,700,QA Engineer,Quality Assurance,Part-time,Market conditions,Small,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,Financial Services,1113,0.043,2026-04-06,Post-IPO,India,800,Operations Executive,Operations,Contract,Performance optimization,Medium,Synthetic Practice Data
Infosys,Chennai,Tamil Nadu,IT Services,794,0.097,2024-12-08,Post-IPO,India,0,QA Engineer,Quality Assurance,Contract,Economic slowdown,Enterprise,Synthetic Practice Data
HCLTech, Noida,Uttar Pradesh,IT Services,417,0.088,2025-07-08,Post-IPO,India,0,Marketing Executive,Marketing,Intern,Economic slowdown,Enterprise,Synthetic Practice Data
Flipkart,Gurugram,Haryana,E-commerce,208,0.211,2023-11-22,Late Stage,India,8700,Business Analyst,Business,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,722,0.063,2025-04-13,Post-IPO,India,0,Product Manager,Product,Full-time,Merger and acquisition,Large,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,347,0.131,2023-08-29,Late Stage,India,1000,Business Analyst,Business,Full-time,Strategic restructuring,Enterprise,Synthetic Practice Data
OYO,Bengaluru ,Karnataka,Travel,596,0.143,2023-02-04,Post-IPO,India,4300,Product Manager,Product,Contract,Funding issues,Startup,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,348,0.186,2026-05-27,Late Stage,India,1200,Product Manager,Product,Intern,Automation,Large,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,Financial Services,1006,0.019,2024-02-07,Post-IPO,India,800,HR Executive,Human Resources,Full-time,Funding issues,Medium,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,734,0.136,2025-05-19,Post-IPO,India,0,Sales Executive,Sales,Contract,Merger and acquisition,Startup,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,180,0.065,2022-04-11,Late Stage,India,500,Data Scientist,Data Science,Full-time,Cost cutting,Large,Synthetic Practice Data
Swiggy,Mumbai,Maharashtra,Food Delivery,940,0.033,2023-08-23,Post-IPO,India,3600,Business Analyst,Business,Contract,Performance optimization,Enterprise,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,180,0.18,2021-04-29,Late Stage,India,1000,QA Engineer,Quality Assurance,Intern,Cost cutting,Medium,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,336,0.076,2022-05-17,Late Stage,India,800,Sales Executive,Sales,Full-time,Business shutdown,Large,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,329,0.183,2022-09-23,Late Stage,India,500,UI/UX Designer,Design,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,455,0.114,2024-05-24,Late Stage,India,1200,Product Manager,Product,Intern,Performance optimization,Large,Synthetic Practice Data
Curefit,Bengaluru,Karnataka,HealthTech,315,0.126,2025-10-04,Late Stage,India,700,Software Engineer,Engineering,Full-time,Merger and acquisition,Large,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,291,0.192,2023-01-31,Late Stage,India,1500,Business Analyst,Business,Intern,Business shutdown,Enterprise,Synthetic Practice Data
TCS,Hyderabad,Telangana,IT Services,365,0.153,2022-10-11,Post-IPO,India,0,Project Manager,Project Management,Contract,Automation,Startup,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,182,0.094,2022-04-02,Late Stage,India,1200,Sales Executive,Sales,Contract,Performance optimization,Enterprise,Synthetic Practice Data
TCS,Mumbai,Maharashtra,IT Services,884,0.067,2022-11-20,Post-IPO,India,0,Product Manager,Product,Intern,Cost cutting,Startup,Synthetic Practice Data
